id, x, y, w, h, bold, font
315,95.00,178.96,47.99,6.44,1,0
316,145.68,178.96,79.97,6.44,1,0
317,95.00,189.66,35.50,6.14,0,1
318,133.25,189.66,57.02,6.14,0,1
319,193.23,189.66,24.99,6.14,0,1
320,95.00,199.96,56.46,6.44,1,0
321,97.80,213.27,49.74,5.73,1,0
322,498.50,213.27,14.22,5.73,1,0
323,515.09,213.27,2.66,5.73,1,0
324,97.80,222.94,16.43,5.46,0,1
325,116.67,222.94,2.66,5.46,0,1
326,121.57,222.94,10.66,5.46,0,1
327,182.80,222.94,19.56,5.46,0,1
328,204.49,222.94,2.66,5.46,0,1
329,209.38,222.94,10.66,5.46,0,1
330,267.90,222.94,11.54,5.46,0,1
331,281.79,222.94,2.66,5.46,0,1
332,286.78,222.94,10.66,5.46,0,1
333,352.90,222.94,27.98,5.46,0,1
334,383.26,222.94,2.66,5.46,0,1
335,388.16,222.94,10.66,5.46,0,1
336,493.40,222.87,29.33,5.73,1,0
337,97.80,232.14,68.46,5.46,0,1
338,168.56,232.14,2.22,5.46,0,1
339,173.15,232.14,5.78,5.46,0,1
340,181.14,232.14,2.66,5.46,0,1
341,186.04,232.14,20.44,5.46,0,1
342,97.80,246.97,57.73,5.73,1,0
343,158.24,246.97,4.45,5.73,1,0
344,164.94,246.97,4.45,5.73,1,0
345,171.63,246.97,25.33,5.73,1,0
346,492.00,246.97,8.90,5.73,1,0
347,503.10,246.97,2.66,5.73,1,0
348,508.09,246.97,16.01,5.73,1,0
349,97.80,256.54,40.91,5.46,0,1
350,182.80,256.54,13.33,5.46,0,1
351,267.90,256.54,36.46,5.46,0,1
352,352.90,256.54,86.26,5.46,0,1
353,97.80,265.84,13.78,5.46,0,1
354,113.88,265.84,13.75,5.46,0,1
355,130.06,265.84,6.66,5.46,0,1
356,139.05,265.84,19.12,5.46,0,1
357,95.00,293.04,29.76,5.46,0,1
358,127.37,293.04,11.56,5.46,0,1
359,141.16,293.04,5.78,5.46,0,1
360,149.15,293.04,2.66,5.46,0,1
361,154.05,293.04,22.66,5.46,0,1
362,179.13,293.04,19.12,5.46,0,1
363,200.62,293.04,18.22,5.46,0,1
364,220.61,293.04,32.88,5.46,0,1
365,256.17,293.04,11.11,5.46,0,1
366,95.00,302.24,13.78,5.46,0,1
367,111.28,302.24,2.66,5.46,0,1
368,116.18,302.24,29.33,5.46,0,1
369,147.94,302.24,4.00,5.46,0,1
370,154.04,302.24,4.45,5.46,0,1
371,160.83,302.24,4.00,5.46,0,1
372,167.10,301.36,6.35,6.34,0,2
373,175.20,302.24,4.00,5.46,0,1
374,181.30,302.24,4.38,5.46,0,1
375,188.00,302.24,4.45,5.46,0,1
376,194.79,302.24,4.66,5.46,0,1
377,201.68,302.24,4.00,5.46,0,1